,id,count,model,trade_count,winning_ratio,mean_gain,mean_loss,payoff_ratio,sum_gain,sum_loss,profit_factor,
0,035420,100,lg,24,0.416666667,2170,1420,1.528169014,21700,14200,1.528169014,
1,035420,100,dt,38,0.473684211,1200,1382.352941,0.868085106,21600,23500,0.919148936,
2,035420,100,rf,35,0.485714286,1570.588235,950,1.653250774,26700,15200,1.756578947,
3,035420,100,xg,36,0.361111111,1561.538462,1163.636364,1.341947115,20300,25600,0.79296875,
0,035420,150,lg,20,0.3,2566.666667,950,2.701754386,15400,9500,1.621052632,
1,035420,150,dt,36,0.416666667,1080,1540,0.701298701,16200,30800,0.525974026,
2,035420,150,rf,41,0.463414634,1321.052632,904.7619048,1.460110803,25100,19000,1.321052632,
3,035420,150,xg,36,0.611111111,1181.818182,1246.153846,0.948372615,26000,16200,1.604938272,
0,035420,200,lg,15,0.466666667,1900,1700,1.117647059,13300,10200,1.303921569,
1,035420,200,dt,13,0.230769231,3500,2511.111111,1.39380531,10500,22600,0.46460177,
2,035420,200,rf,28,0.464285714,2007.692308,1866.666667,1.075549451,26100,28000,0.932142857,
3,035420,200,xg,32,0.65625,1128.571429,1950,0.578754579,23700,19500,1.215384615,
0,035420,250,lg,18,0.333333333,2433.333333,1762.5,1.380614657,14600,14100,1.035460993,
1,035420,250,dt,28,0.607142857,1005.882353,1310,0.767849124,17100,13100,1.305343511,
2,035420,250,rf,32,0.4375,2128.571429,1441.176471,1.47696793,29800,24500,1.216326531,
3,035420,250,xg,30,0.5,1600,1740,0.91954023,24000,26100,0.91954023,
0,005380,20,lg,23,0.52173913,2325,2363.636364,0.983653846,27900,26000,1.073076923,4
1,005380,20,dt,10,0.3,733.3333333,1128.571429,0.64978903,2200,7900,0.278481013,
2,005380,20,rf,39,0.487179487,1463.157895,1273.684211,1.148760331,27800,24200,1.148760331,
3,005380,20,xg,37,0.540540541,1375,1547.058824,0.88878327,27500,26300,1.045627376,
0,005380,50,lg,10,0.6,1666.666667,833.3333333,2,10000,2500,4,
1,005380,50,dt,23,0.52173913,2083.333333,1554.545455,1.340155945,25000,17100,1.461988304,
2,005380,50,rf,35,0.485714286,905.8823529,1216.666667,0.744560838,15400,21900,0.703196347,
3,005380,50,xg,20,0.55,609.0909091,1244.444444,0.489448052,6700,11200,0.598214286,
0,005380,100,lg,31,0.516129032,1900,1260,1.507936508,30400,18900,1.608465608,
1,005380,100,dt,24,0.5,1583.333333,1118.181818,1.41598916,19000,12300,1.544715447,
2,005380,100,rf,25,0.6,1733.333333,2022.222222,0.857142857,26000,18200,1.428571429,
3,005380,100,xg,35,0.342857143,1166.666667,743.4782609,1.56920078,14000,17100,0.81871345,
